descrip,mapdate,mapscale,province,category,source,maptype,class,shape_leng,shape_area,,Source: https://sites.google.com/view/map-portal/downloadable-maps/soil?authuser=0
BOLINAO CLAY LOAM                                                                                                                                                                                                                                             ,1968,250000,Surigao del Sur                                   ,BOLINAO CLAY LOAM                                                                                                                                                                                                                                             ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,108,0,0,,
SAN MANUEL LOAM                                                                                                                                                                                                                                               ,1968,250000,Surigao del Sur                                   ,SAN MANUEL LOAM                                                                                                                                                                                                                                               ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,190,0,0,,
SAN MANUEL LOAM                                                                                                                                                                                                                                               ,1968,250000,Surigao del Sur                                   ,SAN MANUEL LOAM                                                                                                                                                                                                                                               ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,190,0,0,,
Not Avail.                                                                                                                                                                                                                                                    ,1968,250000,Surigao del Sur                                   ,Not Avail.                                                                                                                                                                                                                                                    ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,853,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1968,250000,Surigao del Sur                                   ,HYDROSOL                                                                                                                                                                                                                                                      ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,1,0,0,,
Not Avail.                                                                                                                                                                                                                                                    ,1968,250000,Surigao del Sur                                   ,Not Avail.                                                                                                                                                                                                                                                    ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,1094,0,0,,
Not Avail.                                                                                                                                                                                                                                                    ,1968,250000,Surigao del Sur                                   ,Not Avail.                                                                                                                                                                                                                                                    ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,1002,0,0,,
MOUNTAIN SOILS                                                                                                                                                                                                                                                ,1968,250000,Surigao del Sur                                   ,MOUNTAIN SOILS                                                                                                                                                                                                                                                ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,45,0,0,,
BEACH SAND                                                                                                                                                                                                                                                    ,1968,250000,Surigao del Sur                                   ,BEACH SAND                                                                                                                                                                                                                                                    ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,118,0,0,,
SAN MANUEL LOAM                                                                                                                                                                                                                                               ,1968,250000,Surigao del Sur                                   ,SAN MANUEL LOAM                                                                                                                                                                                                                                               ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,190,0,0,,
QUINQUD CLAY LOAM                                                                                                                                                                                                                                             ,1968,250000,Surigao del Sur                                   ,QUINQUD CLAY LOAM                                                                                                                                                                                                                                             ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,109,0,0,,
Not Avail.                                                                                                                                                                                                                                                    ,1968,250000,Surigao del Sur                                   ,Not Avail.                                                                                                                                                                                                                                                    ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,1003,0,0,,
SAN MANUEL LOAM                                                                                                                                                                                                                                               ,1968,250000,Surigao del Sur                                   ,SAN MANUEL LOAM                                                                                                                                                                                                                                               ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,190,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1968,250000,Surigao del Sur                                   ,HYDROSOL                                                                                                                                                                                                                                                      ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,1,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1968,250000,Surigao del Sur                                   ,HYDROSOL                                                                                                                                                                                                                                                      ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,1,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1968,250000,Surigao del Sur                                   ,HYDROSOL                                                                                                                                                                                                                                                      ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,1,0,0,,
BANTOG CLAY                                                                                                                                                                                                                                                   ,1968,250000,Surigao del Sur                                   ,BANTOG CLAY                                                                                                                                                                                                                                                   ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,228,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1968,250000,Surigao del Sur                                   ,HYDROSOL                                                                                                                                                                                                                                                      ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,1,0,0,,
Not Avail.                                                                                                                                                                                                                                                    ,1968,250000,Surigao del Sur                                   ,Not Avail.                                                                                                                                                                                                                                                    ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,1003,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1968,250000,Surigao del Sur                                   ,HYDROSOL                                                                                                                                                                                                                                                      ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,1,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1968,250000,Surigao del Sur                                   ,HYDROSOL                                                                                                                                                                                                                                                      ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,1,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1968,250000,Surigao del Sur                                   ,HYDROSOL                                                                                                                                                                                                                                                      ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,1,0,0,,
Not Avail.                                                                                                                                                                                                                                                    ,1968,250000,Surigao del Sur                                   ,Not Avail.                                                                                                                                                                                                                                                    ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,853,0,0,,
HYDROSOL                                                                                                                                                                                                                                                      ,1968,250000,Surigao del Sur                                   ,HYDROSOL                                                                                                                                                                                                                                                      ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,1,0,0,,
CAMANSA CLAY LOAM                                                                                                                                                                                                                                             ,1968,250000,Surigao del Sur                                   ,CAMANSA CLAY LOAM                                                                                                                                                                                                                                             ,Surigao_DelSur_Soil_250thsnd_1                                                                                                                                                                                                                                ,SOIL                                              ,575,0,0,,